university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad de flores,licenciatura en kinesiología y fisiatría,2020-11-01,,chelsea taylor,female,98,6200,realico,michael67@gmail.com
universidad de flores,ingeniería en informática,2020-12-09,,daniel brown,male,81,1633,empalme,khodges@gmail.com
universidad de flores,licenciatura en ciencias antropológicas,2020-09-11,,ms. amy scott,female,29,5777,adolfo rodriguez saa,dmadden@hotmail.com
universidad de flores,licenciatura en ciencias ambientales,2020-09-18,,david huber,male,68,4605,alisos  de abajo,wwebb@hotmail.com
universidad de flores,diseño de imagen y sonido,2020-09-06,,steven munoz,male,65,5381,,christopher00@yahoo.com
universidad de flores,licenciatura en planificación y diseño del paisaje,2020-12-22,,tim cox,male,16,5622,colonia jauregui,aliciapearson@hotmail.com
universidad de flores,diseño industrial,2020-12-22,,joann dominguez,female,104,3308,candelaria,elizabeth50@hotmail.com
universidad de flores,licenciatura en planificación y diseño del paisaje,2020-10-19,,mrs. breanna anderson md,female,65,5622,colonia jauregui,rreilly@hotmail.com
universidad de flores,bioquímica,2020-11-20,,ian lewis,male,,2508,armstrong,kimann@hotmail.com
universidad de flores,licenciatura en ciencias ambientales,2020-09-08,,alexander williams,male,,4163,huasa pampa norte,leslie97@gmail.com
universidad de flores,licenciatura en planificación y diseño del paisaje,2020-11-11,,emily wilson,female,81,3328,colonia japonesa,mark19@hotmail.com
universidad de flores,licenciatura en ciencias biológicas,2020-12-04,,laura clay,female,17,1659,campo de mayo,kellyjordan@yahoo.com
universidad de flores,licenciatura en sociología ,2021-01-16,,brian alexander,male,110,3706,avia terai,mpowell@gmail.com
universidad de flores,agronomía,2021-01-18,,erik adams,male,,6077,encina,victor43@yahoo.com
universidad de flores,farmacia,2020-12-27,,sara hansen,female,62,5572,alto grande,mdavis@yahoo.com
universidad de flores,licenciatura en kinesiología y fisiatría,2021-01-29,,frank fields,male,112,3531,colonia aborigen,kathy78@gmail.com
universidad de flores,licenciatura en gestión de agroalimentos,2020-10-27,,sandra white,female,,6476,chiclana,tara67@hotmail.com
universidad de flores,licenciatura en ciencias de la computación,2020-12-09,,logan melton,male,94,6405,30 de agosto,kayla62@gmail.com
