university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad nacional de villa maría,licenciatura en ciencia política,15-Sep-20,,jonathan harris md,male,104,1768,ciudad madero,richard21@hotmail.com
universidad nacional de villa maría,licenciatura en planificación y diseño del paisaje,20-Sep-20,,jamie harrell,female,53,1607,villa adelina,jdalton@hotmail.com
universidad nacional de villa maría,licenciatura en sociología,26-Dec-20,,roger gregory,male,33,3308,candelaria,juanmay@hotmail.com
universidad nacional de villa maría,licenciatura en ciencias de la computación,29-Oct-20,,brittany landry,female,112,5721,agua seballe,itorres@yahoo.com
universidad nacional de villa maría,bioquímica,26-Oct-20,,danielle wheeler,female,59,6071,bermudez,tiffanywashington@hotmail.com
universidad nacional de villa maría,licenciatura en ciencias geológicas,06-Oct-20,,rebecca benson,female,69,6301,ataliva roca,jmonroe@hotmail.com
universidad nacional de villa maría,actuario,20-Jan-21,,kelsey ward,female,20,2132,aero club rosario,veronicalewis@gmail.com
universidad nacional de villa maría,diseño de imagen y sonido,24-Nov-20,,christine mitchell,female,108,2900,san nicolas de los arroyos,malonejoseph@hotmail.com
universidad nacional de villa maría,licenciatura en ciencias ambientales,16-Sep-20,,michael nielsen,male,101,4501,abra del trigo,fflores@gmail.com
universidad nacional de villa maría,licenciatura en ciencia política,17-Jan-21,,jessica li,female,66,2944,rio tala,xgolden@hotmail.com
universidad nacional de villa maría,arquitectura,22-Oct-20,,todd mendoza,male,72,3172,kilometro 208,jbaker@hotmail.com
universidad nacional de villa maría,diseño de imagen y sonido,30-Dec-20,,peggy meyer,female,79,8336,gobernador duval,sabrina38@hotmail.com
universidad nacional de villa maría,licenciatura en ciencias biológicas,26-Nov-20,,ryan brown,male,22,8422,aguada de piedra,caleb20@yahoo.com
universidad nacional de villa maría,licenciatura en planificación y diseño del paisaje,12-Sep-20,,joann bennett,female,89,6387,caleufu,cnicholson@hotmail.com
universidad nacional de villa maría,ciencias veterinarias,07-Jan-21,,william conley,male,36,4501,abra del trigo,chubbard@hotmail.com
universidad nacional de villa maría,arquitectura,09-Nov-20,,joseph rosales,male,54,8160,fortin chaco,bpearson@hotmail.com
universidad nacional de villa maría,licenciatura en sociología,05-Nov-20,,john munoz,male,67,8318,challaco,martinezalicia@yahoo.com
universidad nacional de villa maría,licenciatura en ciencias de la computación,09-Sep-20,,andrea walker,female,111,8154,calvo,cookmargaret@hotmail.com
universidad nacional de villa maría,ingeniería en informática,04-Sep-20,,patrick conner,male,87,5527,colonia santa teresa,michael16@yahoo.com
universidad nacional de villa maría,licenciatura en ciencias antropológicas,18-Nov-20,,larry obrien,male,22,4618,abra de pives,kathleenherrera@gmail.com
universidad nacional de villa maría,licenciatura en ciencias biológicas,28-Oct-20,,debra howard,female,78,8361,isla grande,smithchristine@hotmail.com
universidad nacional de villa maría,licenciatura en sociología,28-Oct-20,,michael reyes,male,66,3421,bajo guazu,khill@hotmail.com
universidad nacional de villa maría,licenciatura en planificación y diseño del paisaje,12-Nov-20,,david howard,male,90,7263,el chumbeau,wendysimpson@yahoo.com
universidad nacional de villa maría,ingeniería electrónica,22-Nov-20,,timothy jones,male,111,8415,arroyo las minas,shawn63@yahoo.com
universidad nacional de villa maría,licenciatura en sociología,16-Sep-20,,gary richards,male,110,5553,empalme frontera,gilbertandrew@gmail.com
universidad nacional de villa maría,licenciatura en sociología,18-Oct-20,,gregory daniel,male,112,7305,antonio de los heros,csimpson@yahoo.com
universidad nacional de villa maría,licenciatura en administración,26-Nov-20,,vanessa mack,female,109,2322,cabaña el cisne,cwilcox@hotmail.com
universidad nacional de villa maría,licenciatura en ciencias de la educación,13-Sep-20,,carol johnson,female,40,7108,costa del este,bbrown@hotmail.com
universidad nacional de villa maría,licenciatura en ciencias antropológicas,08-Jan-21,,christopher williams,male,16,3074,colonia el simbol,denisepowell@gmail.com
universidad nacional de villa maría,bioquímica,06-Nov-20,,rachel holland,female,52,2843,general galarza,rmartinez@hotmail.com
universidad nacional de villa maría,licenciatura en ciencias ambientales,09-Jan-21,,tracy rogers,female,77,5439,belgrano,eknight@yahoo.com
universidad nacional de villa maría,licenciatura en relaciones del trabajo,05-Dec-20,,ariel richardson,female,41,7228,abbott,william49@gmail.com
universidad nacional de villa maría,ciencias veterinarias,30-Dec-20,,brenda wade,female,62,6313,bajo de las palomas,jenniferlivingston@hotmail.com
