university,career,inscription_date,last_name,first_name,gender,postal_code,email,location,age
univ. nacional del comahue,diseño industrial,2020-11-20,harris,michelle,female,7261,martinezjohn@hotmail.com,saladillo norte,103
univ. nacional del comahue,contador público,2020-10-31,hill,amanda,female,8129,tyler57@hotmail.com,17 de agosto,30
univ. nacional del comahue,licenciatura en ciencias ambientales,2020-09-04,montes,jason,male,3194,wbryant@hotmail.com,paso telegrafo,95
univ. nacional del comahue,agronomía,2021-01-31,davis,ryan,male,3328,patriciazamora@gmail.com,colonia japonesa,86
univ. nacional del comahue,diseño industrial,2020-12-03,burton,sana,female,4500,kleinlauren@gmail.com,alto del saladillo,50
univ. nacional del comahue,licenciatura en ciencias geológicas,2020-11-24,gonzales,rebekah,female,7609,mterry@yahoo.com,balneario la caleta,41
univ. nacional del comahue,licenciatura en gestión de agroalimentos,2020-10-23,gibson,laura,female,3087,carmenmckinney@yahoo.com,felicia,81
univ. nacional del comahue,licenciatura en ciencias biológicas,2021-01-09,mcdonald,michael,male,3000,benjamin45@yahoo.com,barranquitas,63
univ. nacional del comahue,licenciatura en gestión de agroalimentos,2021-01-01,mathis,stephen,male,5557,christine82@yahoo.com,caracoles,73
univ. nacional del comahue,licenciatura en producción de bioimagenes,2020-10-18,gibson,timothy,male,6050,christopherevans@gmail.com,cuartel vii,57
univ. nacional del comahue,arquitectura,2020-10-11,hunt,cody,male,3214,keith37@hotmail.com,estacion yerua,53
univ. nacional del comahue,medicina,2020-12-25,miles,bradley,male,6331,floresrobert@yahoo.com,colonia beaufort,93
univ. nacional del comahue,ingeniería en informática,2020-11-19,robertson,melissa,female,7630,josephking@gmail.com,hospital necochea,27
univ. nacional del comahue,licenciatura en producción de bioimagenes,2020-09-18,campbell,jane,female,7311,gillespiebrian@yahoo.com,chillar,18
univ. nacional del comahue,licenciatura en ciencia política,2020-10-14,spears,barbara,female,6433,cindy96@hotmail.com,arturo vatteone,49
univ. nacional del comahue,diseño industrial,2020-11-05,stokes,joshua,male,5701,jennifer73@gmail.com,11 de mayo,73
univ. nacional del comahue,agronomía,2020-12-23,christensen,gary,male,5505,james83@hotmail.com,carbometal,27
univ. nacional del comahue,contador público,2020-10-13,collier,lisa,female,6634,casestacey@yahoo.com,alberti,94
univ. nacional del comahue,diseño de imagen y sonido,2020-12-09,owen,joel,male,6409,kevinsalas@yahoo.com,jose maria blanco,95
univ. nacional del comahue,licenciatura en ciencias de la computación,2020-09-06,petty,james,male,5521,ethanjimenez@hotmail.com,los corredores,51
univ. nacional del comahue,licenciatura en ciencia política,2020-10-03,rich,rachel,female,7221,sheila33@yahoo.com,francisco berra,103
univ. nacional del comahue,técnico para bioterios,2020-10-07,ford,victoria,female,6058,danagoodwin@hotmail.com,pazos kanki,88
univ. nacional del comahue,licenciatura en musicoterapia,2021-01-07,morgan,richard,male,8124,odonnellgrant@hotmail.com,berraondo,111
univ. nacional del comahue,licenciatura en musicoterapia,2020-10-05,ross,tyler,male,3261,tanneryolanda@hotmail.com,centella,36
univ. nacional del comahue,licenciatura en artes,2021-01-08,jones,jerry,male,1812,irichardson@yahoo.com,carlos spegazzini,99
univ. nacional del comahue,licenciatura en sociología,2020-11-25,cook,latasha,female,1665,derek68@gmail.com,jose clemente paz,33
univ. nacional del comahue,licenciatura en ciencias ambientales,2020-09-24,wallace,susan,female,2828,lauren17@gmail.com,colonia nueva montevideo,17
univ. nacional del comahue,actuario,2020-09-29,powell,kelsey,female,4618,richardstrevor@hotmail.com,abra de pives,57
univ. nacional del comahue,licenciatura en ciencia política,2020-11-29,key,ana,female,6616,ramossteven@gmail.com,castilla,43
univ. nacional del comahue,licenciatura en planificación y diseño del paisaje,2020-11-12,day,renee,female,9001,wblack@gmail.com,cañadon ferrais,38
univ. nacional del comahue,ingeniería en informática,2020-10-19,wood,timothy,male,4101,maldonadomichael@yahoo.com,agua negra,66
univ. nacional del comahue,licenciatura en ciencias de la educación,2020-11-04,hoover,amy,female,3248,hobbssabrina@gmail.com,caraguata,107
univ. nacional del comahue,licenciatura en ciencia política,2021-01-21,mcclure,christina,female,8103,bradfordkathleen@gmail.com,garro,101
univ. nacional del comahue,licenciatura en relaciones del trabajo,2020-12-01,harris,linda,female,3048,hpatton@gmail.com,angeloni,101
univ. nacional del comahue,licenciatura en ciencias ambientales,2021-01-21,hurst,karen,female,7020,rodney75@gmail.com,benito juarez,71
univ. nacional del comahue,licenciatura en ciencias antropológicas,2020-11-13,moore,adam,male,1665,brandon66@hotmail.com,jose clemente paz,63
