university,career,inscription_date,last_name,first_name,gender,location,email,postal_code,age
universidad del salvador,licenciatura en administración,2020-09-17,gonzalez,james,male,coronel isleños,josephjackson@hotmail.com,2747,78
universidad del salvador,licenciatura en relaciones del trabajo,2020-10-01,russell,christopher,male,bellocq,pattersonjeremy@gmail.com,6535,74
universidad del salvador,licenciatura en ciencias ambientales,2020-09-29,farley,monica,female,cañada rica,maria48@yahoo.com,2105,47
universidad del salvador,licenciatura en ciencia y tecnología de alimentos,2020-12-21,sutton,tammy,female,francisco madero,charles28@hotmail.com,6472,68
universidad del salvador,licenciatura en terapia ocupacional,2021-01-15,price,sydney,female,pellegrini,singletonjoshua@yahoo.com,6346,84
universidad del salvador,bioquímica,2020-11-21,baird,anthony,male,jose clemente paz,hernandezandrew@hotmail.com,1665,50
universidad del salvador,licenciatura en ciencia política,2020-11-02,clark,adam,male,chanilao,ymills@gmail.com,6201,31
universidad del salvador,ingeniería electrónica,2020-12-10,cruz,cheryl,female,banfield,charlenebarker@gmail.com,1828,69
universidad del salvador,licenciatura en producción de bioimagenes,2020-12-28,hutchinson,regina,female,castilla,simpsonmichelle@hotmail.com,6616,60
universidad del salvador,licenciatura en ciencias antropológicas,2020-09-29,frazier,todd,male,alberto flores,amyneal@gmail.com,5582,90
universidad del salvador,ingeniería en informática,2020-12-13,lewis,mark,male,isla gran malvina,zfrost@gmail.com,9409,54
universidad del salvador,licenciatura en ciencias geológicas,2020-09-03,howell,joann,female,agustoni,wongcaleb@yahoo.com,6361,62
universidad del salvador,licenciatura en gestión de agroalimentos,2020-11-29,aguirre,sarah,female,cristiano muerto,paul08@gmail.com,7503,18
universidad del salvador,licenciatura en ciencias de la educación,2020-09-23,murphy,elijah,male,arroyo urquiza,dmiller@hotmail.com,3280,56
universidad del salvador,actuario,2020-09-18,lynch,jacqueline,female,bigand,keith17@gmail.com,2177,66
universidad del salvador,diseño industrial,2021-01-06,lewis,devin,male,empalme frontera,margaret60@gmail.com,5553,93
universidad del salvador,contador público,2020-09-15,johnson,robert,male,juan vela,brownjane@yahoo.com,6663,46
universidad del salvador,contador público,2021-01-23,rios,tammy,female,benavidez,hshort@hotmail.com,1621,76
universidad del salvador,diseño de imagen y sonido,2020-10-30,patterson,michelle,female,agua rica,crosales@hotmail.com,5611,68
universidad del salvador,licenciatura en planificación y diseño del paisaje,2020-09-13,payne,marcus,male,apeadero las chimbas,ericsullivan@yahoo.com,5413,104
universidad del salvador,licenciatura en administración,2020-10-22,snyder,diane,female,colonia santa teresa,xhayden@hotmail.com,5527,91
universidad del salvador,licenciatura en ciencias ambientales,2020-09-02,miller,rachel,female,abra de hinojo,brian17@gmail.com,8170,41
universidad del salvador,licenciatura en ciencia y tecnología de alimentos,2021-01-28,brown,bradley,male,colonia las yescas,valeriecraig@yahoo.com,6513,63
universidad del salvador,actuario,2021-02-01,melendez,kyle,male,9 de abril,emilycurry@hotmail.com,1776,105
universidad del salvador,técnico para bioterios,2020-10-13,jensen,tiffany,female,villa sauce,wshelton@hotmail.com,6235,91
universidad del salvador,licenciatura en administración,2020-10-14,cole,tracy,male,kilometro 184,caldwelljennifer@yahoo.com,3620,98
universidad del salvador,licenciatura en artes,2021-01-03,bennett,crystal,female,almirante irizar,mollyporter@hotmail.com,1629,48
universidad del salvador,licenciatura en terapia ocupacional,2020-10-02,austin,craig,male,aldea apeleg,hernandezrebecca@hotmail.com,9033,58
universidad del salvador,licenciatura en ciencia y tecnología de alimentos,2020-09-20,moreno,elizabeth,female,agua de la zorra,taylorlori@yahoo.com,5460,114
universidad del salvador,licenciatura en sociología,2020-09-03,smith,amy,female,acassuso,martinezmichael@hotmail.com,1640,91
universidad del salvador,licenciatura en administración,2020-10-05,gonzalez,michael,male,colonia egido,atkinsoncharles@hotmail.com,3240,63
universidad del salvador,licenciatura en ciencia y tecnología de alimentos,2020-12-25,hale,frank,male,campo raffo,castilloronald@gmail.com,2216,107
universidad del salvador,licenciatura en producción de bioimagenes,2020-09-21,johnson,jason,male,leubuco,steven06@gmail.com,6338,50
universidad del salvador,ingeniería mecánica,2020-10-14,stokes,angela,female,barrio villa adela,baxtermichael@hotmail.com,5584,102
universidad del salvador,licenciatura en ciencia política,2021-01-07,cohen,kelly,female,la california,dawn60@gmail.com,2520,48
universidad del salvador,licenciatura en producción de bioimagenes,2020-12-30,mercer,donald,male,30 de agosto,ryan73@yahoo.com,6405,93
universidad del salvador,licenciatura en relaciones del trabajo,2021-01-08,goodwin,linda,female,piamonte,dixonchristina@yahoo.com,2529,63
