,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad nacional de jujuy,licenciatura en musicoterapia,2020/11/27,megan,lopez,female,55,8521,arroyo de la ventana,reeddonald@yahoo.com
1,universidad nacional de jujuy,diseño industrial,2020/11/01,corey,alvarado,male,59,8521,aldecon,shawnhunt@gmail.com
2,universidad nacional de jujuy,licenciatura en ciencias ambientales,2020/10/24,jessica,jordan,female,77,8521,campo yaguarete,daymatthew@gmail.com
3,universidad nacional de jujuy,contador público ,2020/11/23,heather,williams,female,89,7406,bajo la cancha,travissutton@yahoo.com
4,universidad nacional de jujuy,diseño de imagen y sonido,2020/09/22,jose,jones,male,18,3586,amuschina,jennifer87@hotmail.com
5,universidad nacional de jujuy,diseño de imagen y sonido,2020/11/14,terry,shelton,male,96,3586,colonia jauregui,kellerkristopher@yahoo.com
6,universidad nacional de jujuy,licenciatura en ciencias antropológicas,2020/09/12,brent,murray,male,85,9031,barrio garin norte,elizabeth47@hotmail.com
7,universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/11/10,rebecca,hart,female,21,9031,las hermanas,tammy58@hotmail.com
8,universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/09/29,joshua,henderson,male,110,9031,anecon grande,tryan@hotmail.com
9,universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/12/07,jack,shannon,male,101,5329,campo moreno,harrisalbert@yahoo.com
10,universidad nacional de jujuy,diseño industrial,2020/12/09,vanessa,martin,female,73,5622,ingeniero allan,matthew92@gmail.com
11,universidad nacional de jujuy,licenciatura en ciencias antropológicas,2021/01/30,tyler,horne,male,79,5622,cañada,aaronlarsen@hotmail.com
12,universidad nacional de jujuy,ingeniería en informática,2021/01/07,robert,brown,male,63,1623,villa angelica,cantuthomas@gmail.com
13,universidad nacional de jujuy,agronomía,2021/01/11,frank,obrien,male,97,1623,barrio parque leloir,scurry@yahoo.com
14,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/12/18,,dr. stacie wilson,female,48,7412,la porteña,bryantsydney@yahoo.com
15,universidad nacional de jujuy,ingeniería electrónica,2020/09/19,kyle,rose,male,101,7412,acostilla,agilbert@gmail.com
16,universidad nacional de jujuy,licenciatura en ciencias de la educación ,2020/12/18,jasmine,medina,female,95,7412,abramo,zachary43@hotmail.com
17,universidad nacional de jujuy,diseño industrial,2020/12/05,rebecca,padilla,female,19,7412,25 de mayo,rhampton@yahoo.com
18,universidad nacional de jujuy,ingeniería electrónica,2020/10/07,melissa,swanson,female,22,8416,azteazu,jenniferstrickland@gmail.com
19,universidad nacional de jujuy,licenciatura en musicoterapia,2021/01/24,juan,hicks,male,66,8416,cabi monda,gibsoncheryl@yahoo.com
20,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/09/24,kristina,bush,female,48,3734,cerro de la gloria canal 15,benjamindean@hotmail.com
21,universidad nacional de jujuy,farmacia,2020/10/21,christina,wells,female,113,3734,colonia lia y allende,qwells@yahoo.com
22,universidad nacional de jujuy,actuario ,2020/12/23,michael,chapman,male,35,3734,emilio lamarca,natalie99@hotmail.com
23,universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/10/20,brandon,martin,male,97,1891,aldea apeleg,michellesherman@yahoo.com
24,universidad nacional de jujuy,arquitectura,2020/11/09,richard,perez,male,59,1891,cespedes,christopherball@yahoo.com
25,universidad nacional de jujuy,licenciatura en ciencias geológicas,2020/10/09,james,padilla,male,41,1891,campo crisol,marshallbrian@gmail.com
26,universidad nacional de jujuy,licenciatura en musicoterapia,2020/09/07,caroline,humphrey,female,59,1891,agua de castilla,gsnyder@hotmail.com
27,universidad nacional de jujuy,licenciatura en ciencias de la educación ,2020/12/07,jamie,taylor,female,57,4129,alejandra,daviseddie@yahoo.com
28,universidad nacional de jujuy,técnico para bioterios ,2020/10/12,christopher,obrien,male,24,5773,cañada del ucle,dawncole@gmail.com
29,universidad nacional de jujuy,bioquímica,2020/10/29,anthony,ruiz,male,17,4129,la chirlandia,kellysamuel@gmail.com
30,universidad nacional de jujuy,ingeniería electrónica,2020/11/10,sharon,day,female,53,5773,encina,gardnertimothy@gmail.com
31,universidad nacional de jujuy,actuario ,2020/09/23,victoria,wolfe,female,20,4129,girodias,howardvictor@yahoo.com
32,universidad nacional de jujuy,licenciatura en ciencia política ,2020/10/04,spencer,dominguez,male,88,5773,alcaraz 2do,bparsons@hotmail.com
33,universidad nacional de jujuy,licenciatura en ciencias geológicas,2020/10/03,tina,thomas,female,116,4129,el bombero,cassiebrewer@yahoo.com
34,universidad nacional de jujuy,licenciatura en ciencia política ,2020/10/15,debra,davis,female,74,5773,chañarcito,mooreandrea@hotmail.com
35,universidad nacional de jujuy,medicina,2020/11/02,andre,anderson,male,56,2000,brea chimpana,arivera@hotmail.com
36,universidad nacional de jujuy,licenciatura en musicoterapia,2020/09/14,carolyn,clark,female,53,2000,colonia centenario,jordanleslie@hotmail.com
37,universidad nacional de jujuy,diseño de imagen y sonido,2021/01/19,jorge,miller,male,26,2000,colonia la blanquita,sherri64@hotmail.com
38,universidad nacional de jujuy,ingeniería mecánica,2020/11/27,andrea,molina,female,88,1713,campo el mataco,luisconley@gmail.com
39,universidad nacional de jujuy,arquitectura,2020/09/17,jimmy,taylor,male,17,1713,la union,xcollins@gmail.com
40,universidad nacional de jujuy,ingeniería en informática,2020/11/06,elizabeth,cox,female,88,1713,cañada,hughesandrew@yahoo.com
41,universidad nacional de jujuy,arquitectura,2021/01/15,stephanie,williamson,female,47,1713,aromos,patrickcrawford@hotmail.com
42,universidad nacional de jujuy,farmacia,2020/11/26,derek,robinson,male,23,7241,barrio villa saladillo,kathleenmitchell@yahoo.com
43,universidad nacional de jujuy,licenciatura en ciencia política ,2021/01/11,melissa,moore,female,66,4113,cachiyuyal,erin97@yahoo.com
44,universidad nacional de jujuy,licenciatura en terapia ocupacional,2021/01/06,christopher,bennett,male,106,4701,boulogne,valenzuelacarolyn@yahoo.com
45,universidad nacional de jujuy,diseño industrial,2020/12/06,tonya,hancock,female,56,4113,alto pencoso,christophermason@gmail.com
46,universidad nacional de jujuy,licenciatura en psicología,2020/09/07,michael,pacheco,male,81,4701,meson de fierro,erosario@yahoo.com
47,universidad nacional de jujuy,farmacia,2020/10/13,lauren,long,female,78,4113,algarrobo verde,williamsonrebecca@gmail.com
48,universidad nacional de jujuy,agronomía,2020/09/29,anita,drake,female,109,4701,colonia 1 de mayo,mendozacorey@yahoo.com
49,universidad nacional de jujuy,diseño industrial,2020/09/30,elizabeth,hickman,female,109,4113,la lucila del mar,rachelyang@gmail.com
50,universidad nacional de jujuy,licenciatura en ciencias ambientales,2020/09/12,benjamin,hernandez,male,59,4701,comandante leal,andrew91@hotmail.com
51,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020/10/28,jesse,cohen,male,59,8212,kilmetro 165,anguyen@yahoo.com
52,universidad nacional de jujuy,agronomía,2020/11/08,mark,greer,male,28,8212,estacion general arenales,tstanley@hotmail.com
53,universidad nacional de jujuy,técnico para bioterios ,2020/10/09,katie,hamilton,female,51,3363,alto del molle,tthompson@gmail.com
54,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020/10/26,jeffrey,le,male,108,4242,arroyo grande,amandadavis@hotmail.com
55,universidad nacional de jujuy,medicina,2020/11/12,jessica,ruiz,female,73,5615,bañadito viejo,taylor07@hotmail.com
56,universidad nacional de jujuy,ingeniería electrónica,2020/12/19,jennifer,crawford,female,76,6660,guillermo e hudson,vross@gmail.com
57,universidad nacional de jujuy,actuario ,2020/10/31,michele,roman,female,59,8201,aromos,mcintyrerichard@hotmail.com
58,universidad nacional de jujuy,actuario ,2020/11/07,stephanie,dunn,female,25,3363,colonia florencia,thompsonpeter@gmail.com
59,universidad nacional de jujuy,licenciatura en musicoterapia,2021/01/05,tiffany,olson,female,90,4242,agote,zwalker@gmail.com
60,universidad nacional de jujuy,ingeniería mecánica,2020/11/12,christopher,miller,male,23,5615,azara,erobinson@gmail.com
61,universidad nacional de jujuy,licenciatura en ciencias biológicas,2020/10/08,ronnie,davis,male,29,6660,colonia hinojo,zjones@hotmail.com
62,universidad nacional de jujuy,ciencias veterinarias,2020/12/25,connie,floyd,female,46,8201,el espinillo,tamarahorton@hotmail.com
63,universidad nacional de jujuy,técnico para bioterios ,2021/01/30,joseph,cabrera,male,80,3363,aristia,qnavarro@hotmail.com
64,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2021/01/26,tammy,ortiz,female,90,4242,agua colorada,johnsondouglas@hotmail.com
65,universidad nacional de jujuy,licenciatura en ciencias ambientales,2020/10/26,david,archer,male,32,5615,alamos,marioking@gmail.com
66,universidad nacional de jujuy,ingeniería en informática,2020/11/01,alyssa,nelson,female,62,6660,baigorrita,kennethjackson@yahoo.com
67,universidad nacional de jujuy,licenciatura en administración ,2021/01/08,leonard,peterson,male,53,8201,abalo,christopherwilson@yahoo.com
68,universidad nacional de jujuy,ingeniería electrónica,2020/09/26,brian,moore,male,26,3363,arroyo guilaia,robert72@hotmail.com
69,universidad nacional de jujuy,ingeniería mecánica,2020/11/09,cassandra,turner,female,37,4242,colonia lote 12,andrewrodriguez@hotmail.com
70,universidad nacional de jujuy,agronomía,2020/10/06,matthew,jensen,male,74,5615,funke,erinmcclain@hotmail.com
71,universidad nacional de jujuy,técnico para bioterios ,2020/11/14,danielle,wilson,female,99,6660,agustin mosconi,robinbranch@hotmail.com
72,universidad nacional de jujuy,ciencias veterinarias,2020/12/15,brian,reese,male,54,8201,colonia campo piaggio,bryantpatrick@yahoo.com
73,universidad nacional de jujuy,licenciatura en terapia ocupacional,2021/01/12,rachel,torres,female,59,3363,el pingo,kcox@gmail.com
74,universidad nacional de jujuy,licenciatura en ciencias ambientales,2020/12/08,wesley,acosta,male,57,4242,corbett,linda85@yahoo.com
75,universidad nacional de jujuy,ciencias veterinarias,2020/10/23,kaitlyn,case,female,59,5615,de bruyn,angela12@hotmail.com
76,universidad nacional de jujuy,diseño de imagen y sonido,2021/01/10,austin,smith,male,75,6660,alabama,tmcbride@gmail.com
