,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad de palermo,actuario,2020/12/04,jonathan,zimmerman,male,69,4139,agua amarilla la hoyada,yking@gmail.com
1,universidad de palermo,licenciatura en producción de bioimagenes,2020/10/26,kathy,collins,female,99,3229,agua amarilla la hoyada,bkent@gmail.com
2,universidad de palermo,agronomía,2020/10/24,kevin,lee,male,102,6365,colonia freitas,nancyho@hotmail.com
3,universidad de palermo,licenciatura en sociología,2020/12/23,mark,scott,male,108,9313,colonia freitas,shannon83@gmail.com
4,universidad de palermo,licenciatura en planificación y diseño del paisaje,2020/10/21,dawn,taylor,female,41,6661,colonia freitas,amber11@hotmail.com
5,universidad de palermo,contador público,2020/11/22,chelsea,evans,female,58,3355,colonia freitas,baldwintimothy@yahoo.com
6,universidad de palermo,licenciatura en musicoterapia,2020/09/01,michael,pitts,male,101,4516,azteazu,usummers@yahoo.com
7,universidad de palermo,licenciatura en gestión de agroalimentos,2021/01/26,david,ramos,male,27,3550,cara mala,mariah31@hotmail.com
8,universidad de palermo,licenciatura en ciencia política,2021/01/14,kaitlyn,potter,female,53,3557,cara mala,joel80@gmail.com
9,universidad de palermo,licenciatura en planificación y diseño del paisaje,2020/09/25,james,klein,male,40,5743,blas durañona,andrewvega@gmail.com
10,universidad de palermo,bioquímica,2020/12/14,roy,bernard,male,105,7111,blas durañona,floresjoseph@yahoo.com
11,universidad de palermo,licenciatura en producción de bioimagenes,2020/11/12,christopher,ortega,male,40,1625,blas durañona,sharon90@gmail.com
12,universidad de palermo,actuario,2020/12/20,leah,myers,female,89,8364,arrechea,longyvette@hotmail.com
13,universidad de palermo,licenciatura en ciencias de la educación,2021/01/09,robert,swanson,male,49,3412,arrechea,mbradshaw@gmail.com
14,universidad de palermo,agronomía,2020/09/11,,mrs._wendy_coleman,female,30,5567,caimancito,espinozahunter@hotmail.com
15,universidad de palermo,licenciatura en ciencia y tecnología de alimentos,2020/09/29,michael,williams,male,109,6605,caimancito,shenderson@hotmail.com
16,universidad de palermo,licenciatura en gestión de agroalimentos,2020/10/24,wesley,parrish,male,104,3400,allende,diana33@yahoo.com
17,universidad de palermo,arquitectura,2021/01/28,nicole,thomas,female,109,3443,caraguatay,aho@hotmail.com
18,universidad de palermo,ciencias veterinarias,2020/11/23,molly,garza,female,61,3123,caraguatay,phillipdaniels@hotmail.com
19,universidad de palermo,técnico para bioterios,2021/01/11,christina,cruz,female,57,5607,la isabel,jon54@hotmail.com
20,universidad de palermo,licenciatura en ciencias antropológicas,2020/12/17,jeffery,hernandez,male,20,6727,la isabel,stantonanthony@hotmail.com
21,universidad de palermo,ingeniería en informática,2020/10/13,rachel,cummings,female,17,8166,san bernardo del tuyu,mreed@hotmail.com
22,universidad de palermo,licenciatura en planificación y diseño del paisaje,2020/09/20,paula,stevens,female,27,3592,san bernardo del tuyu,fjohnson@gmail.com
23,universidad de palermo,licenciatura en terapia ocupacional,2021/01/14,thomas,burton,male,74,2246,arroyo canelon,amanda88@gmail.com
24,universidad de palermo,licenciatura en psicología,2020/11/22,megan,harrington,female,105,7101,chimpay,maxwell07@hotmail.com
25,universidad de palermo,actuario,2020/12/25,martha,lopez,female,32,3322,chimpay,zcastillo@yahoo.com
26,universidad de palermo,ingeniería electrónica,2020/11/02,cynthia,powell,female,36,6205,chimpay,owiley@hotmail.com
27,universidad de palermo,ingeniería en informática,2021/01/02,jason,taylor,male,68,2729,albardon,burtonkevin@yahoo.com
