,university,career,inscription_date,first_name,last_name,gender,age,postal_code,email,location
0,universidad j. f. kennedy,ingeniería mecánica,2021-01-19,,nancy underwood,female,46,4139,mcdonaldjulia@yahoo.com,agua amarilla la hoyada
1,universidad j. f. kennedy,actuario ,2020-10-15,,james kelly,male,54,3176,contrerasstephen@yahoo.com,estacion sola
2,universidad j. f. kennedy,diseño de imagen y sonido,2021-01-22,,jaime crawford,female,46,7612,martin59@yahoo.com,camet
3,universidad j. f. kennedy,actuario ,2020-10-06,,matthew ballard,male,103,7401,jamesguerra@yahoo.com,canteras de gregorini
4,universidad j. f. kennedy,arquitectura,2020-10-19,,tiffany harris,female,72,5471,simmonsderek@yahoo.com,
5,universidad j. f. kennedy,licenciatura en producción de bioimagenes,2021-01-07,,antonio turner,male,28,4164,burgesskathy@yahoo.com,bajastine
6,universidad j. f. kennedy,licenciatura en ciencias de la educación ,2020-12-27,,holly miller,female,29,3083,ggraves@yahoo.com,grutly
7,universidad j. f. kennedy,licenciatura en kinesiología y fisiatría,2020-09-08,,andrew lee,male,67,4751,haley06@hotmail.com,agua de dionisio
8,universidad j. f. kennedy,licenciatura en relaciones del trabajo ,2021-01-15,,melanie parks,female,15,2506,mgarza@yahoo.com,correa
9,universidad j. f. kennedy,medicina,2020-09-14,,aaron brown,male,113,3418,richard88@yahoo.com,bartolome mitre
10,universidad j. f. kennedy,licenciatura en ciencias antropológicas,2020-09-20,,terry mooney,male,101,2801,joshua50@hotmail.com,alto verde
11,universidad j. f. kennedy,licenciatura en ciencias de la educación ,2021-01-15,,john cantu,male,92,3283,ashleylin@hotmail.com,colonia mabragaña
12,universidad j. f. kennedy,licenciatura en ciencia política ,2020-10-02,,joseph callahan,male,65,6220,ronaldgonzales@gmail.com,bernardo larroude
13,universidad j. f. kennedy,licenciatura en producción de bioimagenes,2020-10-31,,linda sexton,female,68,3340,kgardner@yahoo.com,boqueron
14,universidad j. f. kennedy,licenciatura en ciencias de la computación,2020-12-06,,john cantu phd,male,30,6660,hcrawford@gmail.com,
15,universidad j. f. kennedy,ingeniería electrónica,2020-12-28,,deborah green,female,25,8214,linda47@yahoo.com,colonia cazaux
16,universidad j. f. kennedy,licenciatura en ciencias de la computación,2020-11-07,,jeremy evans,male,78,3087,noah83@hotmail.com,felicia
17,universidad j. f. kennedy,actuario ,2020-10-08,,adam williams,male,112,3454,jackie04@gmail.com,bañado san antonio
18,universidad j. f. kennedy,ingeniería en informática,2020-10-21,,dawn fleming,female,90,3641,craigarmstrong@gmail.com,
