,university,career,inscription_date,first_name,last_name,gender,birth_date,age,postal_code,location,email
0,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-DE-IMAGEN-Y-SONIDO,02-10-2020,,PHILIP-CORTEZ,M,20-12-1922,,,BELLA-VISTA,ASHLEY17@GMAIL.COM
1,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-DE-IMAGEN-Y-SONIDO,30-11-2020,,TIMOTHY-OLSON,M,24-08-1916,,,BARKER,CONNIE29@HOTMAIL.COM
2,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-ANTROPOLÓGICAS,07-01-2021,,ADRIAN-WILSON,M,02-06-1919,,,GRUTLY,SCHMIDTCHRISTOPHER@HOTMAIL.COM
3,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,FARMACIA,16-10-2020,,MELISSA-HENDRIX,F,16-12-2012,,,ARROYO-DEL-MEDIO,CHELSEAWHITE@HOTMAIL.COM
4,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-MECÁNICA,01-12-2020,,DANIELLE-WATSON,F,02-09-1965,,,ACEVEDO,RUSSELLGINA@GMAIL.COM
5,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,22-10-2020,,GEORGE-NEWMAN,M,16-12-2013,,,ABRALAITE,LSMITH@GMAIL.COM
6,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PSICOLOGÍA,16-11-2020,,KELLY-BARNETT,F,13-12-1951,,,ALDAO,ROBERTHOLMES@HOTMAIL.COM
7,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,ACTUARIO-,20-01-2021,,STEPHANIE-JORDAN,F,10-06-1928,,,BARRIO-INDIO-TROMPA,PERRYKIMBERLY@HOTMAIL.COM
8,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-GEOLÓGICAS,20-01-2021,,JASON-NEWTON,M,18-07-1971,,,25-DE-MAYO,MARTINBRIANNA@YAHOO.COM
9,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,CIENCIAS-VETERINARIAS,14-12-2020,,MARIAH-THOMAS,F,10-06-1937,,,BOEUF,CALEXANDER@HOTMAIL.COM
10,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-INDUSTRIAL,12-11-2020,,MARIA-RANDOLPH,F,18-08-1974,,,ALEJANDRO-KORN,KARLDAVIS@HOTMAIL.COM
11,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,15-12-2020,,TINA-THOMAS,F,27-02-2012,,,GRACIARENA,MFLOWERS@YAHOO.COM
12,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,ARQUITECTURA,01-10-2020,,MRS.-KELLI-MASSEY,F,01-01-1983,,,25-DE-MAYO,GOODERICA@GMAIL.COM
13,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-INDUSTRIAL,28-11-2020,,JOHNNY-HOPKINS,M,16-07-1984,,,CHANCAY,JOSEMORRIS@YAHOO.COM
14,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,07-12-2020,,TIMOTHY-WILSON,M,08-01-1951,,,7-DE-ABRIL,GARDNERKURT@YAHOO.COM
15,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,02-10-2020,,MONICA-SKINNER,F,11-05-1956,,,ALTO-CON-ZAMPA,MEYERANTHONY@HOTMAIL.COM
16,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,24-11-2020,,COLIN-ORTIZ,M,06-09-1913,,,ARMSTRONG,JAMES58@YAHOO.COM
17,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,ARQUITECTURA,01-10-2020,,YOLANDA-SCOTT,F,16-04-1994,,,COLONIA-BELGRANO,SNYDERCALEB@GMAIL.COM
18,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIA-POLÍTICA-,15-10-2020,,RODNEY-MARTIN,M,11-10-1972,,,ALBIGASTA,GBROWNING@YAHOO.COM
19,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-GEOLÓGICAS,12-09-2020,,ROGER-TORRES,M,07-02-2019,,,AVANZADA,APRILBROCK@HOTMAIL.COM
20,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-ARTES,07-09-2020,,PETER-JACKSON,M,13-08-1923,,,SAN-JOSE-DE-PIEDRA-BLANCA,NCARSON@YAHOO.COM
21,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PSICOLOGÍA,10-01-2021,,DANNY-DAVIS,M,30-06-1945,,,BELLA-VISTA,ELLEN01@GMAIL.COM
22,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,TÉCNICO-PARA-BIOTERIOS-,23-10-2020,,DUSTIN-LAWRENCE,M,11-10-2020,,,ALDEA-CHALECO,XCAMPBELL@YAHOO.COM
23,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,29-09-2020,,KAREN-SILVA,F,13-04-1982,,,ALEGRIA,ABELTRAN@HOTMAIL.COM
24,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,22-11-2020,,SEAN-REEVES,M,26-03-1975,,,CARLOS-PELLEGRINI,KRIVERA@GMAIL.COM
25,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,27-12-2020,,JASON-BELTRAN-DDS,M,23-11-2001,,,BAÑADO-SAN-ANTONIO,SCHMIDTBLAKE@YAHOO.COM
26,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,05-10-2020,,THOMAS-GONZALES,M,08-05-1948,,,FAVELLI,CARLAEDWARDS@HOTMAIL.COM
27,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-ELECTRÓNICA,05-10-2020,,KELLY-SMITH,F,28-04-2015,,,AYUI-PARADA,JOSEPH65@YAHOO.COM
28,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,MEDICINA,11-12-2020,,ANGELA-KING,F,02-11-2004,,,ALTO-BLANCO,JENNIFERRICHARDSON@HOTMAIL.COM
29,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,31-12-2020,,JAMIE-JOHNSON,F,24-02-1975,,,BOCAS,KIMBERLYEDWARDS@HOTMAIL.COM
30,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,02-12-2020,,BETH-RIVERA,F,16-04-1935,,,LA-DORITA,HLEE@HOTMAIL.COM
31,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,FARMACIA,18-10-2020,,LEAH-SUTTON,F,25-12-2013,,,CHICLANA,SHERRYSCHULTZ@GMAIL.COM
32,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,24-11-2020,,KATHRYN-ROBERTS,F,26-11-2010,,,ZONA-DELTA-SAN-FERNANDO,CALEBBURNETT@GMAIL.COM
33,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,CONTADOR-PÚBLICO-,01-09-2020,,KENDRA-RUSSELL,F,28-10-2011,,,CAÑADA-ROSQUIN,STEPHEN57@YAHOO.COM
34,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,15-09-2020,,JENNIFER-MORRISON,F,17-04-1908,,,ESTANCIA-LAS-GAMAS,EHULL@GMAIL.COM
35,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-MUSICOTERAPIA,14-09-2020,,JOSEPH-KIM,M,20-10-2016,,,DIAMANTE,VASQUEZKEITH@HOTMAIL.COM
36,-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,03-09-2020,,MICHELLE-DEAN,F,28-02-1965,,,SAN-LORENZO,SUSAN85@YAHOO.COM
