,university,career,inscription_date,first_name,last_name,gender,birth_date,age,postal_code,location,email
0,universidad-j.-f.-kennedy,ingeniería-mecánica,21-Jan-19,,nancy-underwood,f,76-May-26,,4139,,mcdonaldjulia@yahoo.com
1,universidad-j.-f.-kennedy,actuario-,20-Oct-15,,james-kelly,m,68-Nov-12,,3176,,contrerasstephen@yahoo.com
2,universidad-j.-f.-kennedy,diseño-de-imagen-y-sonido,21-Jan-22,,jaime-crawford,f,76-Oct-20,,7612,,martin59@yahoo.com
3,universidad-j.-f.-kennedy,actuario-,20-Oct-06,,matthew-ballard,m,19-Jan-28,,7401,,jamesguerra@yahoo.com
4,universidad-j.-f.-kennedy,arquitectura,20-Oct-19,,tiffany-harris,f,50-Aug-25,,5471,,simmonsderek@yahoo.com
5,universidad-j.-f.-kennedy,licenciatura-en-producción-de-bioimagenes,21-Jan-07,,antonio-turner,m,94-May-28,,4164,,burgesskathy@yahoo.com
6,universidad-j.-f.-kennedy,licenciatura-en-ciencias-de-la-educación-,20-Dec-27,,holly-miller,f,93-Aug-03,,3083,,ggraves@yahoo.com
7,universidad-j.-f.-kennedy,licenciatura-en-kinesiología-y-fisiatría,20-Sep-08,,andrew-lee,m,55-Apr-23,,4751,,haley06@hotmail.com
8,universidad-j.-f.-kennedy,licenciatura-en-relaciones-del-trabajo-,21-Jan-15,,melanie-parks,f,07-Oct-01,,2506,,mgarza@yahoo.com
9,universidad-j.-f.-kennedy,medicina,20-Sep-14,,aaron-brown,m,09-Aug-14,,3418,,richard88@yahoo.com
10,universidad-j.-f.-kennedy,licenciatura-en-ciencias-antropológicas,20-Sep-20,,terry-mooney,m,21-Jun-15,,2801,,joshua50@hotmail.com
11,universidad-j.-f.-kennedy,licenciatura-en-ciencias-de-la-educación-,21-Jan-15,,john-cantu,m,30-Dec-15,,3283,,ashleylin@hotmail.com
12,universidad-j.-f.-kennedy,licenciatura-en-ciencia-política-,20-Oct-02,,joseph-callahan,m,57-Aug-29,,6220,,ronaldgonzales@gmail.com
13,universidad-j.-f.-kennedy,licenciatura-en-producción-de-bioimagenes,20-Oct-31,,linda-sexton,f,54-Dec-08,,3340,,kgardner@yahoo.com
14,universidad-j.-f.-kennedy,licenciatura-en-ciencias-de-la-computación,20-Dec-06,,john-cantu-phd,m,92-Mar-25,,6660,,hcrawford@gmail.com
15,universidad-j.-f.-kennedy,ingeniería-electrónica,20-Dec-28,,deborah-green,f,97-Jun-18,,8214,,linda47@yahoo.com
16,universidad-j.-f.-kennedy,licenciatura-en-ciencias-de-la-computación,20-Nov-07,,jeremy-evans,m,44-Mar-25,,3087,,noah83@hotmail.com
17,universidad-j.-f.-kennedy,actuario-,20-Oct-08,,adam-williams,m,10-Dec-07,,3454,,jackie04@gmail.com
18,universidad-j.-f.-kennedy,ingeniería-en-informática,20-Oct-21,,dawn-fleming,f,32-Aug-03,,3641,,craigarmstrong@gmail.com
19,universidad-j.-f.-kennedy,medicina,21-Jan-12,,nicole-palmer,f,10-Apr-18,,6221,,psantana@gmail.com
20,universidad-j.-f.-kennedy,licenciatura-en-ciencias-antropológicas,20-Sep-15,,robert-stafford-md,m,53-Nov-09,,1605,,egarcia@gmail.com
21,universidad-j.-f.-kennedy,diseño-de-imagen-y-sonido,20-Nov-07,,jack-schwartz,m,36-Feb-12,,2456,,elizabethalexander@gmail.com
22,universidad-j.-f.-kennedy,agronomía,21-Jan-03,,nathaniel-garcia,m,03-Oct-09,,2848,,candacerichardson@yahoo.com
23,universidad-j.-f.-kennedy,bioquímica,20-Oct-25,,ashley-dean,f,19-Jun-23,,1682,,wileywilliam@hotmail.com
24,universidad-j.-f.-kennedy,ingeniería-electrónica,20-Sep-18,,michelle-bass,f,53-Sep-25,,4105,,wgeorge@hotmail.com
25,universidad-j.-f.-kennedy,diseño-industrial,21-Jan-25,,randy-bright,m,78-Mar-02,,8520,,terrilewis@hotmail.com
26,universidad-j.-f.-kennedy,farmacia,20-Sep-30,,joseph-wells,m,43-Sep-18,,1838,,xcampbell@yahoo.com
27,universidad-j.-f.-kennedy,diseño-de-imagen-y-sonido,20-Sep-27,,steven-oneill,m,96-Dec-21,,5313,,kirbymatthew@hotmail.com
28,universidad-j.-f.-kennedy,licenciatura-en-administración-,20-Dec-20,,jane-brewer,f,20-Mar-16,,5575,,jeremy05@yahoo.com
29,universidad-j.-f.-kennedy,licenciatura-en-gestión-de-agroalimentos,20-Oct-18,,michael-klein,m,03-Dec-22,,3263,,morrisanna@yahoo.com
