university,career,inscription_date,first_name,last_name,birth_date,gender,age,postal_code,location,email
universidad-de-buenos-aires,actuario-,20-Sep-24,,amy-wallace,21-Mar-12,f,,8431,,brookejones@yahoo.com
universidad-de-buenos-aires,licenciatura-en-gestión-de-agroalimentos,20-Sep-27,,angela-hudson,05-Feb-21,f,,3151,,cpatterson@yahoo.com
universidad-de-buenos-aires,medicina,20-Oct-18,,jessica-sandoval,45-Sep-12,f,,6601,,melinda04@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-antropológicas,20-Sep-20,,david-cooper,29-Aug-01,m,,6105,,lukegutierrez@yahoo.com
universidad-de-buenos-aires,licenciatura-en-kinesiología-y-fisiatría,20-Dec-12,,benjamin-nicholson,68-Jun-05,m,,5345,,bgonzalez@hotmail.com
universidad-de-buenos-aires,licenciatura-en-terapia-ocupacional,20-Dec-04,,douglas-boyer,13-May-09,m,,3580,,taylor62@yahoo.com
universidad-de-buenos-aires,licenciatura-en-ciencias-de-la-educación-,20-Sep-18,,kenneth-wright,49-Aug-12,m,,7172,,butlermartha@gmail.com
universidad-de-buenos-aires,técnico-para-bioterios-,21-Jan-28,,heather-bradford,17-Nov-02,f,,6422,,nicole86@yahoo.com
universidad-de-buenos-aires,ingeniería-electrónica,21-Jan-27,,mary-smith,89-Sep-13,f,,8113,,margaret65@yahoo.com
universidad-de-buenos-aires,licenciatura-en-kinesiología-y-fisiatría,20-Nov-04,,pamela-delgado,88-Sep-17,f,,5557,,stefanie45@hotmail.com
universidad-de-buenos-aires,licenciatura-en-administración-,20-Nov-24,,paul-myers,23-Nov-14,m,,5407,,ypayne@yahoo.com
universidad-de-buenos-aires,medicina,21-Jan-15,,amy-hurst,80-Dec-29,f,,4129,,akeller@gmail.com
universidad-de-buenos-aires,medicina,20-Oct-24,,jessica-davis,09-Dec-30,f,,4124,,barbaranash@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-geológicas,21-Jan-04,,kimberly-banks,93-Aug-15,f,,5591,,timothyfoster@gmail.com
universidad-de-buenos-aires,licenciatura-en-terapia-ocupacional,20-Nov-02,,stephanie-gates,44-Aug-17,f,,6433,,carlashepherd@yahoo.com
universidad-de-buenos-aires,licenciatura-en-kinesiología-y-fisiatría,20-Dec-16,,daniel-harrell,58-Nov-10,m,,8308,,lvelasquez@gmail.com
universidad-de-buenos-aires,contador-público-,20-Nov-13,,justin-gonzalez,74-Nov-04,m,,5541,,oconnorbrenda@yahoo.com
universidad-de-buenos-aires,ingeniería-mecánica,20-Nov-25,,ethan-pierce,48-Feb-11,m,,7161,,reynoldsmegan@yahoo.com
universidad-de-buenos-aires,medicina,20-Dec-24,,cody-robbins,11-Jan-01,m,,6634,,hjackson@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencia-y-tecnología-de-alimentos,20-Dec-15,,justin-lewis,74-Oct-08,m,,3196,,gjensen@hotmail.com
universidad-de-buenos-aires,licenciatura-en-artes,20-Dec-11,,chelsea-bond,96-Oct-24,f,,1614,,quinnlonnie@gmail.com
universidad-de-buenos-aires,diseño-de-imagen-y-sonido,20-Nov-10,,michelle-mccullough,24-Jun-22,f,,3155,,jennifer34@yahoo.com
universidad-de-buenos-aires,bioquímica,20-Nov-01,,scott-cox,21-Oct-15,m,,1636,,james05@hotmail.com
universidad-de-buenos-aires,farmacia,20-Sep-19,,michael-smith,97-Feb-15,m,,1754,,alexandertiffany@gmail.com
universidad-de-buenos-aires,ingeniería-en-informática,21-Jan-26,,brittney-smith,68-Jul-23,f,,3226,,anne23@yahoo.com
