last_name	first_name	gender	email	age	university	inscription_date	career	postal_code	location
jennifer kidd		female	alexisstokes@yahoo.com	46	universidad de morón	2021-01-24	licenciatura en administración	5471	agua blanca
robert king		male	kristinadouglas@yahoo.com	52	universidad de morón	2021-01-25	licenciatura en ciencia y tecnología de alimentos	5471	agua blanca
denise ramos		female	samantha12@gmail.com	38	universidad de morón	2021-01-28	ingeniería en informática	5471	agua blanca
robyn walsh		female	dawn84@hotmail.com	54	universidad de morón	2020-11-09	licenciatura en ciencia y tecnología de alimentos	4601	corral de piedras
samantha thompson		female	meganolson@hotmail.com	27	universidad de morón	2020-12-02	ciencias veterinarias	5509	agrelo
mr. john clark		male	sarahadkins@yahoo.com	74	universidad de morón	2021-01-29	actuario	5509	agrelo
james lopez		male	victor92@yahoo.com	26	universidad de morón	2020-10-08	arquitectura	5589	chapanay
benjamin thomas		male	hicksriley@gmail.com	57	universidad de morón	2020-12-20	bioquímica	4166	balderrama
steven sims		male	bmartin@gmail.com	37	universidad de morón	2021-01-01	licenciatura en musicoterapia	4166	balderrama
james wang		male	websterdorothy@yahoo.com	43	universidad de morón	2020-10-08	licenciatura en ciencias ambientales	7167	carilo
jason cantu		male	rodneyeaton@gmail.com	46	universidad de morón	2020-12-18	licenciatura en planificación y diseño del paisaje	7167	carilo
kevin cox		male	williammaxwell@gmail.com	71	universidad de morón	2020-12-26	ingeniería mecánica	7167	carilo
richard bailey		male	braymarcia@gmail.com	82	universidad de morón	2021-01-28	licenciatura en ciencias geológicas	4740	agua salada
megan collins		female	alyssa19@hotmail.com	80	universidad de morón	2020-10-18	licenciatura en ciencias geológicas	4740	agua salada
maria patterson dds		female	kari89@gmail.com	49	universidad de morón	2020-10-28	bioquímica	7260	barrio villa saladillo
pedro sparks		male	stephanielittle@hotmail.com	81	universidad de morón	2020-09-18	licenciatura en ciencias geológicas	2347	colonia mackinlay
joseph coleman		male	staylor@hotmail.com	37	universidad de morón	2021-01-29	licenciatura en gestión de agroalimentos	2347	colonia mackinlay
sara glass		female	lawrencejackson@yahoo.com	41	universidad de morón	2020-12-17	contador público	3244	colonia belga americana
hailey freeman		female	vholland@hotmail.com	68	universidad de morón	2021-01-09	licenciatura en ciencias de la computación	3244	colonia belga americana
