,last_name,first_name,gender,email,birth,age,university,inscription_date,career,location
0,Austin-norris,,M,Amycurtis@hotmail.com,19/Sep/06,,Universidad-nacional-de-río-cuarto,20/Dec/29,Licenciatura-en-musicoterapia,12-de-agosto
1,Tyler-owens,,M,Usmith@yahoo.com,33/May/26,,Universidad-nacional-de-río-cuarto,20/Oct/28,Farmacia,Matheu
2,Donna-hess,,F,Angelrollins@gmail.com,42/Apr/03,,Universidad-nacional-de-río-cuarto,21/Jan/26,Ingeniería-mecánica,General-gutierrez
3,John-gonzales,,M,Jamesho@yahoo.com,06/Jan/01,,Universidad-nacional-de-río-cuarto,20/Oct/12,Licenciatura-en-terapia-ocupacional,Aconquija
4,Michael-smith,,M,Laura64@yahoo.com,95/Mar/07,,Universidad-nacional-de-río-cuarto,21/Jan/15,Ingeniería-en-informática,Chelforo
5,Christopher-davis,,M,Christopher80@yahoo.com,51/Jun/13,,Universidad-nacional-de-río-cuarto,20/Nov/16,Diseño-de-imagen-y-sonido,Bella-italia
6,Jacqueline-gray,,F,Uodonnell@yahoo.com,91/Dec/19,,Universidad-nacional-de-río-cuarto,20/Oct/02,Farmacia,Cañadon-del-corral
7,Denise-richard,,F,Trevor97@gmail.com,71/Jan/28,,Universidad-nacional-de-río-cuarto,20/Nov/24,Contador-público-,Maggiolo
8,Brian-lee,,M,Dbrewer@yahoo.com,60/Jul/31,,Universidad-nacional-de-río-cuarto,20/Sep/08,Ingeniería-electrónica,Acostilla
9,Alexander-cooke,,M,Joseph45@hotmail.com,57/Jun/29,,Universidad-nacional-de-río-cuarto,20/Dec/12,Licenciatura-en-administración-,Campo-paletta
10,Steven-blake,,M,Amandapalmer@yahoo.com,88/Aug/11,,Universidad-nacional-de-río-cuarto,20/Sep/18,Licenciatura-en-ciencia-política-,Longchamps
11,Elizabeth-stewart,,F,Ajohnson@gmail.com,00/Aug/28,,Universidad-nacional-de-río-cuarto,20/Sep/02,Licenciatura-en-terapia-ocupacional,Berisso
12,Johnny-hull,,M,Ehale@gmail.com,83/Mar/30,,Universidad-nacional-de-río-cuarto,21/Jan/20,Ingeniería-en-informática,Alcaraz-norte
13,David-pineda,,M,Christine82@gmail.com,21/Sep/27,,Universidad-nacional-de-río-cuarto,20/Sep/17,Licenciatura-en-terapia-ocupacional,Bahia-cracher
