last_name	first_name	gender	email	age	university	inscription_date	career	location	postal_code
donna hess		female	angelrollins@gmail.com	80	universidad nacional de río cuarto	2021-01-26	ingeniería mecánica	general gutierrez	5511
david lambert		male	kevinnewman@gmail.com	77	universidad nacional de río cuarto	2020-12-02	licenciatura en ciencia política	general gutierrez	5511
michael smith		male	laura64@yahoo.com	27	universidad nacional de río cuarto	2021-01-15	ingeniería en informática	chelforo	8366
christopher davis		male	christopher80@yahoo.com	71	universidad nacional de río cuarto	2020-11-16	diseño de imagen y sonido	bella italia	2301
jacqueline gray		female	uodonnell@yahoo.com	30	universidad nacional de río cuarto	2020-10-02	farmacia	cañadon del corral	8412
martin larson		male	mercadojesse@yahoo.com	76	universidad nacional de río cuarto	2020-12-22	medicina	cañadon del corral	8412
alexis green		female	jesse95@yahoo.com	82	universidad nacional de río cuarto	2021-01-15	ingeniería en informática	cañadon del corral	8412
denise richard		female	trevor97@gmail.com	51	universidad nacional de río cuarto	2020-11-24	contador público	maggiolo	2622
brian lee		male	dbrewer@yahoo.com	62	universidad nacional de río cuarto	2020-09-08	ingeniería electrónica	acostilla	4113
brian lee		male	dbrewer@yahoo.com	62	universidad nacional de río cuarto	2020-09-08	ingeniería electrónica	acostilla	4701
alexander cooke		male	joseph45@hotmail.com	65	universidad nacional de río cuarto	2020-12-12	licenciatura en administración	campo paletta	2206
steven blake		male	amandapalmer@yahoo.com	34	universidad nacional de río cuarto	2020-09-18	licenciatura en ciencia política	longchamps	1854
elizabeth stewart		female	ajohnson@gmail.com	22	universidad nacional de río cuarto	2020-09-02	licenciatura en terapia ocupacional	berisso	2848
ethan bates		male	michealanderson@yahoo.com	51	universidad nacional de río cuarto	2020-11-24	ingeniería electrónica	berisso	2848
johnny hull		male	ehale@gmail.com	39	universidad nacional de río cuarto	2021-01-20	ingeniería en informática	alcaraz norte	3136
morgan hale		female	jacobdunn@hotmail.com	18	universidad nacional de río cuarto	2020-09-09	licenciatura en artes	campo medina	2142
brandi norman		female	wjohnson@yahoo.com	26	universidad nacional de río cuarto	2020-12-03	arquitectura	3 de mayo	3334
brandi norman		female	wjohnson@yahoo.com	26	universidad nacional de río cuarto	2020-12-03	arquitectura	3 de mayo	5543
heather walsh		female	michael52@yahoo.com	27	universidad nacional de río cuarto	2020-12-15	ciencias veterinarias	3 de mayo	3334
heather walsh		female	michael52@yahoo.com	27	universidad nacional de río cuarto	2020-12-15	ciencias veterinarias	3 de mayo	5543
charles luna		male	hensleybrandon@yahoo.com	38	universidad nacional de río cuarto	2020-12-27	licenciatura en relaciones del trabajo	3 de mayo	3334
charles luna		male	hensleybrandon@yahoo.com	38	universidad nacional de río cuarto	2020-12-27	licenciatura en relaciones del trabajo	3 de mayo	5543
rose jenkins		female	mendezkathleen@yahoo.com	80	universidad nacional de río cuarto	2020-12-19	licenciatura en ciencia política	bonpland	3234
leslie walsh		female	turnercory@yahoo.com	26	universidad nacional de río cuarto	2020-09-07	ciencias veterinarias	9 de julio	3445
leslie walsh		female	turnercory@yahoo.com	26	universidad nacional de río cuarto	2020-09-07	ciencias veterinarias	9 de julio	3714
leslie walsh		female	turnercory@yahoo.com	26	universidad nacional de río cuarto	2020-09-07	ciencias veterinarias	9 de julio	5417
leslie walsh		female	turnercory@yahoo.com	26	universidad nacional de río cuarto	2020-09-07	ciencias veterinarias	9 de julio	5533
leslie walsh		female	turnercory@yahoo.com	26	universidad nacional de río cuarto	2020-09-07	ciencias veterinarias	9 de julio	5831
leslie walsh		female	turnercory@yahoo.com	26	universidad nacional de río cuarto	2020-09-07	ciencias veterinarias	9 de julio	6500
amanda lawson		female	jeffrey85@yahoo.com	21	universidad nacional de río cuarto	2020-12-21	licenciatura en ciencias geológicas	9 de julio	3445
amanda lawson		female	jeffrey85@yahoo.com	21	universidad nacional de río cuarto	2020-12-21	licenciatura en ciencias geológicas	9 de julio	3714
amanda lawson		female	jeffrey85@yahoo.com	21	universidad nacional de río cuarto	2020-12-21	licenciatura en ciencias geológicas	9 de julio	5417
amanda lawson		female	jeffrey85@yahoo.com	21	universidad nacional de río cuarto	2020-12-21	licenciatura en ciencias geológicas	9 de julio	5533
amanda lawson		female	jeffrey85@yahoo.com	21	universidad nacional de río cuarto	2020-12-21	licenciatura en ciencias geológicas	9 de julio	5831
amanda lawson		female	jeffrey85@yahoo.com	21	universidad nacional de río cuarto	2020-12-21	licenciatura en ciencias geológicas	9 de julio	6500
jeffrey love		male	wyattcory@gmail.com	78	universidad nacional de río cuarto	2020-12-06	licenciatura en producción de bioimagenes	9 de julio	3445
jeffrey love		male	wyattcory@gmail.com	78	universidad nacional de río cuarto	2020-12-06	licenciatura en producción de bioimagenes	9 de julio	3714
jeffrey love		male	wyattcory@gmail.com	78	universidad nacional de río cuarto	2020-12-06	licenciatura en producción de bioimagenes	9 de julio	5417
jeffrey love		male	wyattcory@gmail.com	78	universidad nacional de río cuarto	2020-12-06	licenciatura en producción de bioimagenes	9 de julio	5533
jeffrey love		male	wyattcory@gmail.com	78	universidad nacional de río cuarto	2020-12-06	licenciatura en producción de bioimagenes	9 de julio	5831
jeffrey love		male	wyattcory@gmail.com	78	universidad nacional de río cuarto	2020-12-06	licenciatura en producción de bioimagenes	9 de julio	6500
wesley taylor		male	johnhughes@gmail.com	27	universidad nacional de río cuarto	2020-09-10	diseño de imagen y sonido	benito juarez	7020
lisa conley		female	brandijackson@gmail.com	77	universidad nacional de río cuarto	2021-01-28	diseño de imagen y sonido	dest aeronautico milit reconqu	3567
todd simmons		male	anthonycook@yahoo.com	37	universidad nacional de río cuarto	2020-12-15	bioquímica	dest aeronautico milit reconqu	3567
anthony washington		male	clara@hotmail.com	49	universidad nacional de río cuarto	2021-01-23	ingeniería mecánica	dest aeronautico milit reconqu	3567
brendan bell		male	sampsonsara@hotmail.com	40	universidad nacional de río cuarto	2021-01-01	actuario	arroyo magdalena	3317
michele gonzalez		female	zlawson@gmail.com	82	universidad nacional de río cuarto	2020-12-05	licenciatura en planificación y diseño del paisaje	cañadon ferrais	9001
alexandria scott		female	mary90@gmail.com	58	universidad nacional de río cuarto	2021-01-17	licenciatura en relaciones del trabajo	cañadon ferrais	9001
dylan baker		male	davidbrown@yahoo.com	34	universidad nacional de río cuarto	2020-12-11	licenciatura en musicoterapia	cañadon ferrais	9001
stephanie gordon		female	carolmiller@hotmail.com	75	universidad nacional de río cuarto	2020-10-04	farmacia	copacabana	2919
rebecca young		female	wdavis@gmail.com	48	universidad nacional de río cuarto	2020-11-21	licenciatura en ciencia política	alejandra	3051
