,university,career,inscription_date,last_name,first_name,gender,fecha_nacimiento,postal_code,email,location,_age_ins_0,_age_ins_1,_age_ins_2,age
0,univ. nacional del comahue,diseño industrial,2020-11-20,harris,michelle,female,1917-10-13,7261,martinezjohn@hotmail.com,saladillo norte,103.10683997618021,103.10683997618021,103.10683997618021,103
1,univ. nacional del comahue,contador público,2020-10-31,hill,amanda,female,1990-04-08,8129,tyler57@hotmail.com,17 de agosto,30.5659938260197,30.5659938260197,30.5659938260197,30
2,univ. nacional del comahue,licenciatura en ciencias ambientales,2020-09-04,montes,jason,male,1925-08-09,3194,wbryant@hotmail.com,paso telegrafo,95.07382081767592,95.07382081767592,95.07382081767592,95
3,univ. nacional del comahue,agronomía,2021-01-31,davis,ryan,male,1934-12-23,3328,patriciazamora@gmail.com,colonia japonesa,86.10991327679555,86.10991327679555,86.10991327679555,86
4,univ. nacional del comahue,diseño industrial,2020-12-03,burton,sana,female,1970-02-12,4500,kleinlauren@gmail.com,alto del saladillo,50.80734032868573,50.80734032868573,50.80734032868573,50
5,univ. nacional del comahue,licenciatura en ciencias geológicas,2020-11-24,gonzales,rebekah,female,1979-01-13,7609,mterry@yahoo.com,balneario la caleta,41.86533604386127,41.86533604386127,41.86533604386127,41
6,univ. nacional del comahue,licenciatura en gestión de agroalimentos,2020-10-23,gibson,laura,female,1938-12-03,3087,carmenmckinney@yahoo.com,felicia,81.89079857902627,81.89079857902627,81.89079857902627,81
7,univ. nacional del comahue,licenciatura en ciencias biológicas,2021-01-09,mcdonald,michael,male,1957-09-19,3000,benjamin45@yahoo.com,barranquitas,63.308623722595264,63.308623722595264,63.308623722595264,63
8,univ. nacional del comahue,licenciatura en gestión de agroalimentos,2021-01-01,mathis,stephen,male,1947-04-18,5557,christine82@yahoo.com,caracoles,73.7099324421446,73.7099324421446,73.7099324421446,73
9,univ. nacional del comahue,licenciatura en producción de bioimagenes,2020-10-18,gibson,timothy,male,2013-07-20,6050,christopherevans@gmail.com,cuartel vii,7.247239847498579,,57.21491448898482,57
10,univ. nacional del comahue,arquitectura,2020-10-11,hunt,cody,male,1967-01-15,3214,keith37@hotmail.com,estacion yerua,53.73963873317043,53.73963873317043,53.73963873317043,53
11,univ. nacional del comahue,medicina,2020-12-25,miles,bradley,male,1927-01-05,6331,floresrobert@yahoo.com,colonia beaufort,93.97318220086655,93.97318220086655,93.97318220086655,93
12,univ. nacional del comahue,ingeniería en informática,2020-11-19,robertson,melissa,female,1992-11-24,7630,josephking@gmail.com,hospital necochea,27.986885425436526,27.986885425436526,27.986885425436526,27
13,univ. nacional del comahue,licenciatura en producción de bioimagenes,2020-09-18,campbell,jane,female,2002-08-16,7311,gillespiebrian@yahoo.com,chillar,18.09208950218006,18.09208950218006,18.09208950218006,18
14,univ. nacional del comahue,licenciatura en ciencia política,2020-10-14,spears,barbara,female,1971-02-25,6433,cindy96@hotmail.com,arturo vatteone,49.63551612969466,49.63551612969466,49.63551612969466,49
15,univ. nacional del comahue,diseño industrial,2020-11-05,stokes,joshua,male,1947-07-15,5701,jennifer73@gmail.com,11 de mayo,73.31293592613127,73.31293592613127,73.31293592613127,73
16,univ. nacional del comahue,agronomía,2020-12-23,christensen,gary,male,1993-07-22,5505,james83@hotmail.com,carbometal,27.422876581996892,27.422876581996892,27.422876581996892,27
17,univ. nacional del comahue,contador público,2020-10-13,collier,lisa,female,1926-05-28,6634,casestacey@yahoo.com,alberti,94.38113034490783,94.38113034490783,94.38113034490783,94
18,univ. nacional del comahue,diseño de imagen y sonido,2020-12-09,owen,joel,male,1925-05-15,6409,kevinsalas@yahoo.com,jose maria blanco,95.57211989294784,95.57211989294784,95.57211989294784,95
19,univ. nacional del comahue,licenciatura en ciencias de la computación,2020-09-06,petty,james,male,1969-03-13,5521,ethanjimenez@hotmail.com,los corredores,51.48634126641888,51.48634126641888,51.48634126641888,51
20,univ. nacional del comahue,licenciatura en ciencia política,2020-10-03,rich,rachel,female,1917-03-28,7221,sheila33@yahoo.com,francisco berra,103.52026393423547,103.52026393423547,103.52026393423547,103
21,univ. nacional del comahue,técnico para bioterios,2020-10-07,ford,victoria,female,1931-11-17,6058,danagoodwin@hotmail.com,pazos kanki,88.89162679589587,88.89162679589587,88.89162679589587,88
22,univ. nacional del comahue,licenciatura en musicoterapia,2021-01-07,morgan,richard,male,1909-05-22,8124,odonnellgrant@hotmail.com,berraondo,111.63268239594242,111.63268239594242,111.63268239594242,111
23,univ. nacional del comahue,licenciatura en musicoterapia,2020-10-05,ross,tyler,male,1983-10-28,3261,tanneryolanda@hotmail.com,centella,36.93984133828894,36.93984133828894,36.93984133828894,36
