,university,career,inscription_date,last_name,first_name,gender,fecha_nacimiento,location,email,postal_code,_age_ins_0,_age_ins_1,_age_ins_2,age
0,universidad del salvador,licenciatura en administración,2020-09-17,gonzalez,james,male,1942-03-08,coronel isleños,josephjackson@hotmail.com,2747,-21.470666748803875,78.53138668145137,78,78
1,universidad del salvador,licenciatura en relaciones del trabajo,2020-10-01,russell,christopher,male,1946-04-04,bellocq,pattersonjeremy@gmail.com,6535,-25.50634167710494,74.4957117531503,74,74
2,universidad del salvador,licenciatura en ciencias ambientales,2020-09-29,farley,monica,female,1972-10-02,cañada rica,maria48@yahoo.com,2105,47.99277192550155,47.99277192550155,47,47
3,universidad del salvador,licenciatura en ciencia y tecnología de alimentos,2020-12-21,sutton,tammy,female,1952-06-18,francisco madero,charles28@hotmail.com,6472,-31.491406394381816,68.51064703587343,68,68
4,universidad del salvador,licenciatura en terapia ocupacional,2021-01-15,price,sydney,female,1936-06-12,pellegrini,singletonjoshua@yahoo.com,6346,-15.406202728324333,84.59585070193091,84,84
5,universidad del salvador,bioquímica,2020-11-21,baird,anthony,male,1970-09-08,jose clemente paz,hernandezandrew@hotmail.com,1665,-49.79705264310698,50.205000787148265,50,50
6,universidad del salvador,licenciatura en ciencia política,2020-11-02,clark,adam,male,1989-09-22,chanilao,ymills@gmail.com,6201,31.1135752274174,31.1135752274174,31,31
7,universidad del salvador,ingeniería electrónica,2020-12-10,cruz,cheryl,female,1951-03-18,banfield,charlenebarker@gmail.com,1828,-30.26756196225795,69.73449146799729,69,69
8,universidad del salvador,licenciatura en producción de bioimagenes,2020-12-28,hutchinson,regina,female,1960-03-27,castilla,simpsonmichelle@hotmail.com,6616,-39.24515903817327,60.756894392081975,60,60
9,universidad del salvador,licenciatura en ciencias antropológicas,2020-09-29,frazier,todd,male,1930-06-12,alberto flores,amyneal@gmail.com,5582,-9.700404525760282,90.30164890449495,90,90
10,universidad del salvador,ingeniería en informática,2020-12-13,lewis,mark,male,1966-07-25,isla gran malvina,zfrost@gmail.com,9409,-45.61353073642854,54.3885226938267,54,54
11,universidad del salvador,licenciatura en ciencias geológicas,2020-09-03,howell,joann,female,1958-03-28,agustoni,wongcaleb@yahoo.com,6361,-37.564084135882325,62.43796929437292,62,62
12,universidad del salvador,licenciatura en gestión de agroalimentos,2020-11-29,aguirre,sarah,female,2001-12-02,cristiano muerto,paul08@gmail.com,7503,18.992860907479276,18.992860907479276,18,18
13,universidad del salvador,licenciatura en ciencias de la educación,2020-09-23,murphy,elijah,male,1963-09-29,arroyo urquiza,dmiller@hotmail.com,3280,-43.015256986796444,56.9867964434588,56,56
14,universidad del salvador,actuario,2020-09-18,lynch,jacqueline,female,1954-02-05,bigand,keith17@gmail.com,2177,-33.38330013621087,66.61875329404437,66,66
